nombre_municipio,asegurados,fecha
Acatic                        ,3498,01/12/2015
Acatlán de Juárez             ,6274,01/12/2015
Ahualulco de Mercado          ,912,01/12/2015
Amacueca                      ,62,01/12/2015
Amatitán                      ,1010,01/12/2015
Ameca                         ,9469,01/12/2015
Arandas                       ,11558,01/12/2015
Atemajac de Brizuela          ,838,01/12/2015
Atengo                        ,270,01/12/2015
Atenguillo                    ,69,01/12/2015
Atotonilco el Alto            ,7076,01/12/2015
Atoyac                        ,452,01/12/2015
Autlán de Navarro             ,9750,01/12/2015
Ayotlán                       ,2773,01/12/2015
Ayutla                        ,328,01/12/2015
Bolaños                       ,567,01/12/2015
Cabo Corrientes               ,491,01/12/2015
Cañadas de Obregón            ,27,01/12/2015
Casimiro Castillo             ,3131,01/12/2015
Chapala                       ,6705,01/12/2015
Chiquilistlán                 ,78,01/12/2015
Cihuatlán                     ,2319,01/12/2015
Cocula                        ,3794,01/12/2015
Colotlán                      ,710,01/12/2015
Concepción de Buenos Aires    ,73,01/12/2015
Cuautitlán de García Barragán ,26,01/12/2015
Cuautla                       ,157,01/12/2015
Cuquío                        ,659,01/12/2015
Degollado                     ,1056,01/12/2015
Ejutla                        ,3,01/12/2015
El Arenal                     ,1133,01/12/2015
El Grullo                     ,3198,01/12/2015
El Limón                      ,148,01/12/2015
El Salto                      ,44114,01/12/2015
Encarnación de Díaz           ,3856,01/12/2015
Etzatlán                      ,694,01/12/2015
Gómez Farías                  ,1335,01/12/2015
Guachinango                   ,288,01/12/2015
Guadalajara                   ,1153747,01/12/2015
Hostotipaquillo               ,227,01/12/2015
Huejúcar                      ,149,01/12/2015
Huejuquilla el Alto           ,272,01/12/2015
Ixtlahuacán de los Membrillos ,5114,01/12/2015
Ixtlahuacán del Río           ,1352,01/12/2015
Jalostotitlán                 ,3296,01/12/2015
Jamay                         ,1059,01/12/2015
Jesús María                   ,1716,01/12/2015
Jilotlán de los Dolores       ,21,01/12/2015
Jocotepec                     ,5583,01/12/2015
Juanacatlán                   ,7403,01/12/2015
Juchitlán                     ,168,01/12/2015
La Barca                      ,7139,01/12/2015
La Huerta                     ,2565,01/12/2015
La Manzanilla de la Paz       ,50,01/12/2015
Lagos de Moreno               ,32094,01/12/2015
Magdalena                     ,2655,01/12/2015
Mascota                       ,2110,01/12/2015
Mazamitla                     ,946,01/12/2015
Mexticacán                    ,7,01/12/2015
Mezquitic                     ,141,01/12/2015
Mixtlán                       ,109,01/12/2015
Ocotlán                       ,26840,01/12/2015
Ojuelos de Jalisco            ,2089,01/12/2015
Pihuamo                       ,760,01/12/2015
Poncitlán                     ,5975,01/12/2015
Puerto Vallarta               ,70497,01/12/2015
Quitupan                      ,4,01/12/2015
San Cristóbal de la Barranca  ,198,01/12/2015
San Diego de Alejandría       ,228,01/12/2015
San Gabriel                   ,2498,01/12/2015
San Ignacio Cerro Gordo       ,1306,01/12/2015
San Juan de los Lagos         ,10447,01/12/2015
San Juanito de Escobedo       ,210,01/12/2015
San Julián                    ,590,01/12/2015
San Marcos                    ,28,01/12/2015
San Martín de Bolaños         ,411,01/12/2015
San Martín Hidalgo            ,664,01/12/2015
San Miguel el Alto            ,3814,01/12/2015
San Pedro Tlaquepaque         ,92580,01/12/2015
San Sebastián del Oeste       ,27,01/12/2015
Santa María de los Ángeles    ,1,01/12/2015
Santa María del Oro           ,1,01/12/2015
